Feature," Progress"
2.1.1 Login,"YES"
2.1.2 Registration,"PARTIAL"
2.1.3 Error Popup,"PARTIAL"
2.2.1 Basic Feed,"PARTIAL"
2.3.1 Show Likes,"YES"
2.3.2 Show Comments,"YES"
2.3.3 Liking,"YES"
2.3.4 Pagination,"AUTO YES"
2.4.1 View Profiles,"PARTIAL"
2.4.2 Own Profile,"YES"
2.4.3 Update Profile,"YES"
2.4.4 Un/watch,"YES"
2.5.1 Add Job,"YES"
2.5.2 Upd/Del Job,"NO"
2.5.3 Leave Comment,"PARTIAL"
2.6.1 Infinite Scroll,"YES"
2.6.2 Live,"NO"
2.6.3 Push notif,"NO"
2.7.1 Offline,"PARTIAL"
2.7.2 URL routing,"PARTIAL"
2.8.0 Bonus," YES"
